client_id,churned,logins_30d,cash_outflows_30d,svc_tickets_90d,meeting_gap_days,response_latency_hours,nps_last,portfolio_drawdown_30d
C_cbe4c45a,1,8,8215.04,0,80.3,24.8,64.0,7.4
C_777df449,0,6,9917.52,0,78.1,23.8,66.0,-1.1
C_29e2a0e6,1,14,18682.64,0,5.0,15.4,36.0,0.2
C_456d9b4c,1,14,3711.05,3,75.0,0.5,-3.0,4.3
C_6147ebbf,1,7,4360.33,1,30.6,7.0,39.0,-4.8
C_9e393f47,1,10,11163.37,0,129.7,36.2,32.0,-8.1
C_659ab3c0,1,5,5219.92,1,59.7,21.5,61.0,0.7
C_06931612,0,4,6155.7,0,53.1,9.7,20.0,-5.6
C_25ec41f9,0,9,2263.0,0,113.2,0.5,68.0,6.4
C_80d6acd4,1,16,2002.93,1,102.3,0.5,19.0,-17.4
C_db26e50e,1,13,4393.14,0,51.7,24.2,53.0,-5.7
C_d234b9b7,0,12,5291.7,1,18.8,24.4,16.0,-0.8
C_b407583d,0,16,3270.09,0,5.0,11.6,34.0,-6.4
C_456ee39a,1,14,4537.85,2,23.3,7.9,2.0,6.2
C_be74d466,1,5,15979.74,1,71.2,23.3,37.0,-1.0
C_627932a3,1,7,2066.06,1,54.8,0.5,10.0,-6.3
C_2a33a83d,1,13,3660.78,0,27.2,32.0,49.0,-0.7
C_94edcc9c,1,8,3940.09,0,46.3,19.4,52.0,-10.7
C_2bc8bf71,0,7,2.29,3,120.1,0.5,35.0,0.9
C_e78e42cc,1,10,4368.39,0,99.2,19.9,19.0,5.7
C_734fe931,0,15,5974.18,0,121.3,5.2,45.0,-3.1
C_70300621,0,6,28.03,3,35.9,0.5,59.0,-2.2
C_87670b0b,0,9,627.0,0,88.2,19.8,31.0,-9.0
C_27d3a064,1,7,6073.99,0,84.6,1.0,24.0,-6.8
C_df08207c,0,11,5732.22,0,111.4,0.5,3.0,4.1
C_f65e1706,1,12,7190.99,0,60.4,16.8,40.0,-2.9
C_12974cea,1,6,9696.11,0,32.6,11.0,61.0,11.2
C_409bc64c,1,4,8515.84,1,28.4,22.1,71.0,1.2
C_162c134d,1,12,1836.74,0,59.5,9.0,41.0,-9.1
C_24bd0368,1,11,7598.88,1,62.7,8.1,-0.0,11.6
C_88f0e23f,1,8,1597.04,1,69.5,0.5,23.0,-10.9
C_c8945ec0,1,11,7996.41,2,11.1,17.0,64.0,-4.6
C_2e75935d,0,10,5786.37,1,105.3,11.8,56.0,-1.2
C_bc7db0fa,1,6,21743.11,0,12.7,23.9,9.0,-0.4
C_addb49a0,1,8,12608.41,1,105.2,19.6,84.0,-6.0
C_add7eddb,1,13,1518.1,1,48.7,15.3,8.0,-2.2
C_938eb162,1,16,3379.39,2,124.6,4.7,25.0,5.7
C_8dfbff7c,1,9,23946.82,0,5.0,7.8,48.0,5.8
C_7095790d,1,10,12438.0,1,101.1,17.5,33.0,8.7
C_bb831588,0,8,9125.59,0,23.9,11.5,27.0,-7.5
C_f787d746,1,12,5523.96,1,21.4,26.2,35.0,-0.5
C_296541bd,1,10,6914.65,1,118.0,25.1,61.0,0.4
C_c6d4116b,0,14,5374.51,0,86.4,9.5,83.0,-13.2
C_bc4124fd,1,8,6099.27,0,8.3,12.9,43.0,-4.1
C_f7458c3e,1,14,5498.62,0,67.1,4.1,19.0,1.0
C_7a2467fa,1,12,1328.97,0,109.2,11.0,38.0,-3.2
C_38dced24,0,9,1230.31,0,79.5,21.5,84.0,-6.4
C_0cf0cf1d,0,12,15606.23,2,61.1,6.6,55.0,-0.1
C_2883674c,0,7,4123.78,1,100.3,8.3,68.0,5.0
C_23e170f5,1,11,19498.2,1,72.9,0.5,56.0,-1.2
C_a43f534d,0,10,7184.76,0,5.0,6.4,59.0,-15.3
C_54db5403,1,20,1345.09,1,63.4,18.1,36.0,4.8
C_9f62920e,1,15,5830.95,1,76.9,9.6,71.0,-10.1
C_7298d085,1,9,3465.96,0,67.8,0.5,-36.0,-9.5
C_9d3aaaa3,0,15,797.44,0,45.8,14.1,49.0,-0.9
C_f1b0338a,0,11,7207.17,0,76.0,11.5,47.0,-0.8
C_32391697,1,14,6867.78,2,66.4,23.2,13.0,-6.3
C_76010ac7,1,13,244.97,0,5.0,10.6,44.0,2.0
C_d6281b92,0,9,10594.6,0,13.6,2.0,50.0,-2.6
C_b7fda7c9,1,13,15343.85,1,70.9,21.6,-8.0,-11.7
C_1ef5b8a4,1,11,2999.65,3,86.1,2.3,44.0,-8.5
C_1b5f2dae,0,6,2814.03,1,32.8,0.5,67.0,-4.3
C_71100c94,1,9,6924.52,2,85.8,1.6,77.0,-2.3
C_4d27ff94,1,14,6431.12,3,77.5,5.9,51.0,-5.8
C_5cbb0476,0,13,2741.26,0,53.4,0.5,33.0,-13.7
C_920454b3,1,8,6039.72,0,74.9,0.5,59.0,-6.8
C_49a3ea39,0,5,3085.21,1,74.2,19.8,14.0,1.4
C_4b2969d7,1,13,10319.39,0,90.7,10.3,55.0,-2.2
C_eebe9437,1,5,1978.07,0,92.3,10.3,34.0,2.9
C_28b6371d,1,11,761.01,1,23.5,11.4,65.0,2.1
C_6801874b,1,9,9541.61,0,34.3,17.6,23.0,-13.0
C_2e2dbb0d,1,13,13427.71,0,111.7,3.8,78.0,-6.6
C_fef6b9e7,1,10,16100.42,2,90.9,17.6,66.0,1.5
C_0f3296db,1,8,12390.59,0,82.3,13.1,44.0,0.4
C_8e4777ab,1,10,2731.49,2,87.8,2.4,42.0,0.3
C_b9539dd8,0,7,5787.23,2,99.8,18.1,78.0,3.3
C_87b73553,1,9,14835.39,0,64.7,12.6,89.0,5.0
C_88efae0d,0,9,14594.87,2,46.7,1.5,27.0,-13.1
C_829d54ab,1,8,296.17,3,79.6,2.3,28.0,-5.2
C_45fb9095,1,15,11448.32,0,59.1,16.8,68.0,1.2
C_ba9044d9,1,8,2674.76,1,114.2,22.1,-23.0,2.0
C_2044fb91,1,15,15508.94,0,113.7,14.8,-28.0,7.8
C_67a9488f,1,10,1395.95,2,91.2,20.9,17.0,6.3
C_3780f65d,1,4,18850.56,1,15.3,24.3,44.0,4.2
C_7b618a4c,1,5,10502.84,0,21.7,9.7,8.0,-5.5
C_4538ce9a,1,13,17582.81,1,14.0,13.6,5.0,2.5
C_eb0358f9,0,8,1753.42,0,66.5,18.7,24.0,9.2
C_10adbeae,0,8,7835.21,0,92.3,0.5,70.0,6.4
C_a107dc14,0,11,1784.95,0,49.2,22.3,26.0,-0.4
C_0bc4c4a8,0,10,10907.92,2,37.4,25.6,64.0,6.1
C_7f42c341,0,9,11293.29,0,63.6,4.6,39.0,-1.3
C_a48c16a1,0,8,21779.17,1,32.6,40.7,75.0,-1.2
C_a91cdf8c,1,8,8374.28,1,69.3,19.9,30.0,-3.9
C_e8d4ede8,1,9,10068.66,1,51.5,10.5,47.0,-10.9
C_950c1cb0,0,4,1704.19,0,37.0,0.5,42.0,3.1
C_a21aa488,0,9,8789.66,0,64.0,11.1,33.0,-3.2
C_5a4423ae,1,11,2340.76,1,91.1,16.2,56.0,-1.7
C_1309cd39,0,13,5811.03,1,6.8,15.1,54.0,0.5
C_d569a2a3,1,11,6221.61,0,65.9,0.5,42.0,-6.0
C_d48226cf,1,12,2533.87,0,5.0,5.4,-11.0,2.7
C_a1e6aa95,1,8,5440.62,1,51.1,18.8,7.0,-3.5
C_c6ca6aa1,0,8,2372.93,1,84.3,17.9,13.0,-3.2
C_5717ba30,1,10,2341.88,0,95.8,21.4,42.0,-21.6
C_3e4103ee,0,6,12536.65,0,41.6,13.2,36.0,-1.6
C_58b1a0aa,1,10,6227.9,2,41.3,11.7,18.0,-8.2
C_a8c0446c,1,17,7429.46,0,52.0,17.1,16.0,-4.7
C_84b90186,0,4,5201.13,0,21.4,12.9,54.0,-7.2
C_39470d5e,0,8,7964.21,0,65.7,0.5,18.0,-6.8
C_cc244ff6,1,8,8712.96,2,24.9,27.2,-25.0,-3.9
C_e02a0b9b,1,7,2211.63,0,79.5,21.2,40.0,0.4
C_7fdd54b2,1,15,19595.21,2,34.9,16.2,23.0,6.4
C_377b7b79,1,6,11024.59,2,48.8,0.5,55.0,-1.6
C_e549a1f1,1,5,10490.57,1,77.5,20.4,18.0,-5.3
C_5558aae6,1,6,9989.63,1,82.2,7.6,31.0,-4.5
C_d8f01cc4,1,9,8791.08,0,80.6,20.3,43.0,3.1
C_70c259a5,1,14,6233.49,0,69.2,17.5,-18.0,-0.0
C_f642bdb0,1,12,8854.76,1,22.0,8.6,21.0,-10.1
C_28262c76,0,7,11077.23,1,58.9,22.5,17.0,-6.8
C_e7f8b688,1,7,81.21,0,53.9,0.5,24.0,-2.5
C_486edc1c,1,6,7094.37,1,45.3,12.6,23.0,-4.0
C_062d5b95,0,10,3716.78,0,62.6,28.6,36.0,-6.2
C_82c5fcbe,1,11,2656.38,0,29.8,16.9,41.0,-4.0
C_c70a10a4,1,7,10020.19,2,58.8,21.1,52.0,-1.2
C_fac67625,0,6,1049.48,2,49.5,12.8,49.0,-0.6
C_780228de,0,12,5485.01,0,44.0,11.8,66.0,-2.6
C_5ce9057d,0,8,1226.23,0,20.9,0.5,60.0,2.6
C_1476e490,1,9,592.29,1,20.0,10.4,71.0,-0.2
C_d1eddbba,1,11,12199.35,0,107.0,18.7,67.0,-9.0
C_56a8ed70,1,12,6072.35,0,64.0,1.1,23.0,-4.9
C_b26a3027,1,8,14676.68,0,123.4,2.4,28.0,-3.7
C_bc1c924a,1,13,334.11,0,125.2,16.2,30.0,-3.8
C_2cfac870,1,7,11119.19,1,103.0,20.3,66.0,-7.6
C_8262cc4a,1,10,24877.36,2,15.1,32.2,30.0,-6.2
C_add1c1b3,1,12,7492.23,0,109.4,9.3,56.0,2.5
C_c4cf9409,1,9,11031.54,0,55.6,9.5,-11.0,-8.8
C_1ef5b01f,1,15,9854.62,0,50.3,20.3,-16.0,-4.7
C_c95ae21e,0,12,4954.53,1,45.3,17.7,69.0,4.6
C_678628fc,1,11,9100.72,0,47.7,9.4,49.0,-3.3
C_116dc261,0,9,7145.19,0,74.0,11.7,67.0,11.4
C_daa57f56,1,7,3181.77,0,140.5,5.7,-1.0,6.8
