account_id,line_type,amount,fee,valuation,cash_flow,month_start_mv,month_end_mv
S002736,TRADE,100.46,0.0,226.82,-126.36,29310.57,29382.27
S002978,TRADE,-904.49,0.0,65.56,-970.04,52406.98,51508.12
S002522,DIVIDEND,67.1,0.0,140.18,-73.07,10914.2,10980.96
S003041,ADJUSTMENT,263.47,-5.79,83.8,185.46,17778.84,18034.74
S002229,DIVIDEND,902.3,0.0,706.81,195.48,16217.24,17113.76
S002935,TRADE,937.22,0.0,562.95,374.27,23235.08,24133.49
S002033,TRADE,-88.1,0.0,369.95,-458.04,18406.14,18299.39
S002014,TRADE,740.01,0.0,418.55,321.45,19769.46,20498.95
S002778,DIVIDEND,260.29,0.0,89.44,170.84,5576.29,5834.46
S002860,TRADE,-118.12,0.0,-107.68,-10.44,9950.63,9822.8
S002819,TRADE,-361.34,0.0,-43.04,-318.3,19430.89,19065.89
S002204,FEE,107.88,-7.03,14.93,99.99,7844.38,7958.15
S002726,DIVIDEND,1307.92,0.0,597.81,710.11,24917.36,26212.87
S002738,INTEREST,-88.86,0.0,0.36,-89.23,3049.43,2955.06
S002634,TRADE,278.63,0.0,64.89,213.74,6728.27,7005.54
S002133,TRADE,-90.2,0.0,-17.85,-72.35,2728.46,2639.78
S002889,INTEREST,-234.92,0.0,0.5,-235.43,12810.58,12588.99
S002615,ADJUSTMENT,862.59,-23.06,430.45,455.19,33711.75,34639.7
S002469,ADJUSTMENT,-217.47,-23.88,-265.26,71.67,31458.42,31189.85
S002172,TRADE,398.94,0.0,377.01,21.93,8103.14,8488.57
S002798,TRADE,395.35,0.0,-85.96,481.31,21812.64,22208.85
S002965,TRADE,-22.96,0.0,4.19,-27.15,14294.66,14272.54
S002032,INTEREST,13.31,0.0,128.58,-115.27,3924.32,3931.02
S002562,INTEREST,26.08,0.0,-53.53,79.61,5564.46,5592.85
S002662,ADJUSTMENT,265.78,-11.28,285.3,-8.24,7156.2,7424.12
S002092,TRADE,32.93,0.0,87.71,-54.78,4376.17,4402.36
S002288,DIVIDEND,-556.69,0.0,128.48,-685.17,13541.05,13010.34
S002509,FEE,52.41,-2.13,2.29,52.25,7443.2,7497.46
S002363,ADJUSTMENT,170.98,-0.69,-44.13,215.8,8136.45,8312.21
S003156,TRADE,33.54,0.0,-23.48,57.02,4455.61,4484.6
S002018,INTEREST,620.31,0.0,1140.54,-520.23,59097.98,59681.78
S002262,FEE,-275.59,-14.6,-192.36,-68.63,10763.18,10466.82
