account_id,ticker,lot_id,trade_date,quantity,cost_basis
A001488,KO,LOT0086b753b9,2025-05-10,16,183.99
A001374,ADBE,LOT8bbde176cf,2023-09-27,26,186.26
A001289,ORCL,LOTbdfdb627fb,2024-08-05,2,190.7
A001856,SPY,LOT248888b17e,2025-04-18,5,224.57
A001785,CRM,LOT9b6aedae93,2025-02-28,47,109.28
A001996,VOO,LOT514ba63057,2024-03-05,40,156.34
A001354,UBER,LOT96a61eca65,2025-03-20,66,275.9
A002002,PFE,LOT1f58b245f6,2025-04-16,18,251.79
A001383,PEP,LOT19931cfb88,2024-06-02,21,168.53
A001109,AMAT,LOTa87b0a8169,2024-09-04,16,420.73
A001019,VZ,LOT9ebb66c30c,2025-04-20,85,52.61
A001399,MRK,LOT059c34ffd4,2024-08-09,76,19.42
A002035,QQQ,LOTeb4cf1a232,2024-04-18,1,375.16
A001837,TLT,LOT0d2f684183,2024-04-21,7,568.99
A001851,EEM,LOT80ec473c30,2024-06-09,17,175.61
A002000,MA,LOTd77a35722d,2025-06-14,41,578.08
A001063,LULU,LOT22482a0d00,2025-01-24,47,95.63
A001598,GOOGL,LOTeb67b053a2,2024-11-29,40,152.74
A001460,SHOP,LOTefa958ee94,2024-11-15,30,38.6
A001344,VNQ,LOT35f24e65da,2024-05-26,16,174.64
A002014,UBER,LOTd8d34e6dd9,2024-04-01,12,491.46
A001231,SQ,LOTce3f3c87da,2025-05-13,15,327.38
A001548,VNQ,LOT57e9c67582,2024-02-28,9,160.11
A001751,SHOP,LOT0ab89279e8,2025-07-26,45,29.03
A001903,SHOP,LOTb586c97dac,2025-01-26,51,33.26
A001870,TSLA,LOTe4eb27985f,2023-11-07,18,386.83
A001506,KO,LOTd20d7c8b8d,2025-08-04,25,189.43
A001921,WMT,LOT021a05d525,2024-09-15,20,238.65
A001178,AMD,LOTb6723676e8,2025-05-09,11,527.52
A001485,UNH,LOT7406a3fbdf,2024-01-13,28,340.72
